问题,标准回答,引用位置来源1,引用位置来源2,引用位置来源3,引用位置来源4,引用位置来源5
2022年上半年是不是不太行？,营收 (19.75亿) 比2021年H1 (14.92亿) 涨了，但利润 (0.96亿) 反而比2021年H1 (1.12亿) 降了。,2022-08-30 金盘科技：2022年半年度报告.pdf,第三节 管理层讨论与分析 / 主要财务数据,,,
2024年营收没怎么涨 (3.5%)，利润倒涨挺多 (13.8%)，为什么？,报告里说主要是毛利率提升了1.71个百分点，更能赚钱了。,2025-04-03 金盘科技：2024年年度报告.pdf,第三节 管理层讨论与分析 / 经营情况讨论与分析,,,
2021年怎么回事？营收涨 (36%)，利润 (1.3%) 几乎没动？,2021年报解释说，主要是原材料（铜、硅钢片）涨价太猛，还有海运费也涨了很多。,2022-04-16 金盘科技：2021年年度报告.pdf,第三节 管理层讨论与分析 / 经营情况讨论与分析,,,
公司现在多大盘子？（总资产）,截至2025年6月底，总资产102.3亿。,2025-08-29 金盘科技：2025年半年度报告.pdf,第三节 管理层讨论与分析 / 主要财务数据,,,
刚上市（2019年底）时多大盘子？,2019年底总资产23.29亿。,2020-05-12 金盘科技(688676).pdf,第八节 财务会计信息 / 合并资产负债表,,,
欠债多吗？（总负债）,截至2025年6月底，总负债55.4亿。,2025-08-29 金盘科技：2025年半年度报告.pdf,第三节 管理层讨论与分析 / 主要财务数据,,,
2024年底欠债多少？,2024年底总负债51.69亿。,2025-04-03 金盘科技：2024年年度报告.pdf,第三节 管理层讨论与分析 / 主要会计数据,,,
他们那个储能业务，2024年做了多少？,2024年“储能系列”收入5.23亿。,2025-04-03 金盘科技：2024年年度报告.pdf,第三节 管理层讨论与分析 / 主营业务分产品情况,,,
储能这块是新搞的吗？2022年有多少？,算是新的爆发点。2022年“储能系列”收入才6401万。,2023-03-21 金盘科技：2022年年度报告.pdf,第三节 管理层讨论与分析 / 主营业务分产品情况,,,
2023年储能业务是不是爆发了？,是的，2023年储能收入4.14亿，比2022年暴增了546.95%。,2024-03-21 金盘科技：2023年年度报告.pdf,第三节 管理层讨论与分析 / 主营业务分产品情况,,,
听说他们在搞AI数据中心？这块业务怎么样？,2024年报提到，数据中心订单增长了603.68%。,2025-04-03 金盘科技：2024年年度报告.pdf,第三节 管理层讨论与分析 / 经营情况讨论与分析,,,
2025年上半年数据中心这块卖了多少？,卖得很好，2025上半年数据中心领域收入超5亿，同比增长460.51%。,2025-08-29 金盘科技：2025年半年度报告.pdf,第三节 管理层讨论与分析 / 经营情况讨论与分析,,,
"2025上半年财报里提的""SST""是啥？",固态变压器 (Solid State Transformer)，他们搞了个样机，说适用于数据中心。,2025-08-29 金盘科技：2025年半年度报告.pdf,第三节 管理层讨论与分析 / 经营情况讨论与分析,,,
他们老说的“数字化工厂”是卖给别人的吗？,是的，“数字化整体解决方案”是他们的一个业务，2024年收入1.23亿。,2025-04-03 金盘科技：2024年年度报告.pdf,第三节 管理层讨论与分析 / 主营业务分产品情况,,,
2023年这块业务做了多少？,2023年收入7082.76万。,2024-03-21 金盘科技：2023年年度报告.pdf,第三节 管理层讨论与分析 / 主营业务分产品情况,,,
他们自己的数字化工厂有用吗？吹牛的吧？,2022年报里说，海口数字化工厂运行2年后，产能提升124%，人均产出额提升136%，单位工费成本降了超15%。,2023-03-21 金盘科技：2022年年度报告.pdf,第三节 管理层讨论与分析 / 经营情况讨论与分析,,,
2022年他们是不是搞了个很牛的储能产品？,是的，2022年7月发布了“全球首例中高压直挂全液冷热管理技术”的储能系统。,2023-03-21 金盘科技：2022年年度报告.pdf,第三节 管理层讨论与分析 / 经营情况讨论与分析,,,
2024年公司现金流怎么样？（经营活动）,不太好，经营活动现金流是负的 (-3698.13万)。,2025-04-03 金盘科技：2024年年度报告.pdf,第三节 管理层讨论与分析 / 主要会计数据,,,
2024年为啥现金流是负的？,报告解释说：一是搞新能源开发业务花钱了 (2.47亿)，二是应收账款回款慢了。,2025-04-03 金盘科技：2024年年度报告.pdf,第三节 管理层讨论与分析 / 现金流,,,
以前现金流也这么差吗？,2022年也是负的 (-1.04亿)，2023年是正的 (2.05亿)。,2024-03-21 金盘科技：2023年年度报告.pdf,第三节 管理层讨论与分析 / 主要会计数据(现金流量),,,
2022年为啥现金流是负的？,2022年报说，主要是第四季度经济下行，货款回收受影响。,2023-03-21 金盘科技：2022年年度报告.pdf,第三节 管理层讨论与分析 / 现金流,,,
2025年上半年现金流转正了吗？,转正了。2025年H1经营现金流是1.41亿。,2025-08-29 金盘科技：2025年半年度报告.pdf,第三节 管理层讨论与分析 / 主要财务数据,,,
2024年上半年现金流呢？,2024年H1是负的 (-3.85亿)。,2024-08-10 金盘科技：2024年半年度报告.pdf,第三节 管理层讨论与分析 / 主要财务数据,,,
2025年上半年现金流怎么突然变好了？,2025半年报说，主要是“销售商品、提供劳务收到的现金”大幅增加了。,2025-08-29 金盘科技：2025年半年度报告.pdf,第十节 财务报告 / 合并现金流量表附注,,,
公司的应收账款多不多？（2024年底）,27.6亿。,2025-04-03 金盘科技：2024年年度报告.pdf,第三节 管理层讨论与分析 / 资产、负债情况,,,
比2023年底多了还是少了？,多了，2023年底是25.1亿。,2025-04-03 金盘科技：2024年年度报告.pdf,第三节 管理层讨论与分析 / 资产、负债情况,,,
刚上市时（2019年底）应收账款多少？,9.82亿。,2020-05-12 金盘科技(688676).pdf,第八节 财务会计信息 / 合并资产负债表,,,
应收账款多，公司自己怎么看？,在2020年招股书和2024年年报里，都把“应收账款余额较大风险”列为重大风险因素。,2020-05-12 金盘科技(688676).pdf,第四节 风险因素,,,
这公司做生意的毛利率高吗？（2024年）,2024年毛利率24.32%。,2025-04-03 金盘科技：2024年年度报告.pdf,第三节 管理层讨论与分析 / 经营情况讨论与分析,,,
2025上半年毛利率呢？,25.87%，比2024年同期 (23.36%) 提升了。,2025-08-29 金盘科技：2025年半年度报告.pdf,第三节 管理层讨论与分析 / 经营情况讨论与分析,,,
2022年毛利率是不是很低？,是的，2022年毛利率只有20.29%。,2024-03-21 金盘科技：2023年年度报告.pdf,第三节 管理层讨论与分析 / 主营业务分行业情况,,,
上市前（2017-2019年）毛利率多少？,比较稳定，在26%-27%左右。,2020-05-12 金盘科技(688676).pdf,第八节 财务会计信息 / 主要财务指标,,,
为什么2022年毛利率那么低？,2022年报说，主要是原材料硅钢片价格比上年同期涨了28%左右，成本上去了。,2023-03-21 金盘科技：2022年年度报告.pdf,第三节 管理层讨论与分析 / 经营情况讨论与分析,,,
他们的成本主要是啥？（IPO时）,2020年招股书显示，主要是铜线（电磁线）、硅钢片、电气元器件等。,2020-05-12 金盘科技(688676).pdf,第六节 业务与技术 / 采购情况,,,
2019年采购最多的是啥？,电磁线（铜），占采购总额27.08%。,2020-05-12 金盘科技(688676).pdf,第六节 业务与技术 / 采购情况,,,
2017年呢？,2017年买最多的是电气元器件 (25.46%)。,2020-05-12 金盘科技(688676).pdf,第六节 业务与技术 / 采购情况,,,
公司在研发上舍得花钱吗？（2024年）,2024年研发投入3.55亿，占营收比例5.15%。,2025-04-03 金盘科技：2024年年度报告.pdf,第三节 管理层讨论与分析 / 研发投入,,,
2023年花多少？,3.51亿，占营收5.27%。,2024-03-21 金盘科技：2023年年度报告.pdf,第三节 管理层讨论与分析 / 研发投入,,,
2022年呢？,2.47亿，占营收5.21%。,2023-03-21 金盘科技：2022年年度报告.pdf,第三节 管理层讨论与分析 / 研发投入,,,
2021年呢？,1.58亿，占营收4.77%。,2022-04-16 金盘科技：2021年年度报告.pdf,第三节 管理层讨论与分析 / 研发投入,,,
2024年搞研发的人多吗？,有408个研发人员，占总人数17.60%。,2025-04-03 金盘科技：2024年年度报告.pdf,第七节 股份变动及股东情况 / 员工情况,,,
刚上市（2019年）时研发人员多少？,240人，占总人数13.68%。,2020-05-12 金盘科技(688676).pdf,第五节 发行人基本情况 / 员工情况,,,
2024年搞出了什么新东西？,研发了适用于海拔5000米、容量40000kVA的抽蓄SFC产品。,2025-04-03 金盘科技：2024年年度报告.pdf,第三节 管理层讨论与分析 / 研发投入,,,
公司员工学历怎么样？（2024年）,38.35% 是本科及以上。,2025-04-03 金盘科技：2024年年度报告.pdf,第七节 股份变动及股东情况 / 员工情况,,,
刚上市（2019年）时呢？,28.56% 是本科及以上。说明员工学历水平提升了。,2020-05-12 金盘科技(688676).pdf,第五节 发行人基本情况 / 员工情况,,,
员工总数（2024年底）？,"2,318人。",2025-04-03 金盘科技：2024年年度报告.pdf,第七节 股份变动及股东情况 / 员工情况,,,
刚上市（2019年底）时多少人？,"1,754人。",2020-05-12 金盘科技(688676).pdf,第五节 发行人基本情况 / 员工情况,,,
员工主要是干啥的？（2019年数据）,生产人员最多，占48.40%。,2020-05-12 金盘科技(688676).pdf,第五节 发行人基本情况 / 员工情况,,,
员工年龄大吗？（2019年数据）,不大，82.33% 都在40岁及以下。,2020-05-12 金盘科技(688676).pdf,第五节 发行人基本情况 / 员工情况,,,
金盘科技在国外卖得好吗？（2024年）,卖得很好，2024年外销收入19.81亿，增长了68.26%。,2025-04-03 金盘科技：2024年年度报告.pdf,第三节 管理层讨论与分析 / 主营业务分地区情况,,,
2023年国外卖多少？,11.77亿。,2024-03-21 金盘科技：2023年年度报告.pdf,第三节 管理层讨论与分析 / 主营业务分地区情况,,,
上市前（2019年）国外卖多少？,7.82亿，占主营业务34.83%。,2020-05-12 金盘科技(688676).pdf,第八节 财务会计信息 / 主营业务收入构成,,,
他们在国外建厂了吗？,建了。2024年报说，墨西哥基地扩建完成，波兰工厂首台产品下线，还在筹备美国工厂。,2025-04-03 金盘科技：2024年年度报告.pdf,第三节 管理层讨论与分析 / 经营情况讨论与分析,,,
他们的东西卖到多少个国家了？（2024年）,87个国家。,2025-04-03 金盘科技：2024年年度报告.pdf,第三节 管理层讨论与分析 / 经营情况讨论与分析,,,
刚上市时（2020年）卖到多少国家？,招股书说产品远销60多个国家和地区。,2020-05-12 金盘科技(688676).pdf,概览 / 行业地位,,,
他们刚上市时，大客户是谁？,2019年第一大客户是通用电气(GE)，占了11.32%。,2020-05-12 金盘科技(688676).pdf,第六节 业务与技术 / 销售情况,,,
2017年第一大客户也是GE吗？,是的，2017、2018、2019年第一大客户都是GE。,2020-05-12 金盘科技(688676).pdf,第六节 业务与技术 / 销售情况,,,
2019年前五大客户占多少？依赖大客户吗？,2019年前五大客户占34.84%，不算特别高。,2020-05-12 金盘科技(688676).pdf,第六节 业务与技术 / 销售情况,,,
刚上市时，他们觉得自己跟谁竞争？,国际上是西门子、ABB、施耐德；国内是特变电工、中国西电等。,2020-05-12 金盘科技(688676).pdf,第六节 业务与技术 / 行业竞争格局,,,
2020年招股书里说，公司有啥荣誉？,2017年拿过西门子歌美飒的“最佳创新供应商”。,2020-05-12 金盘科技(688676).pdf,第六节 业务与技术 / 行业地位,,,
公司现在手里订单多吗？（2025年6月底）,挺多，在手订单75.40亿 (不含税)。,2025-08-29 金盘科技：2025年半年度报告.pdf,第三节 管理层讨论与分析 / 经营情况讨论与分析,,,
2024年底订单多少？,65.09亿。,2025-04-03 金盘科技：2024年年度报告.pdf,第三节 管理层讨论与分析 / 经营情况讨论与分析,,,
2023年底呢？,48.61亿。订单增长很快。,2024-03-21 金盘科技：2023年年度报告.pdf,第三节 管理层讨论与分析 / 经营情况讨论与分析,,,
公司最担心什么风险？（2024年报）,还是老几样：原材料价格波动、市场竞争加剧、全球化运营风险、应收账款回款慢。,2025-04-03 金盘科技：2024年年度报告.pdf,第三节 管理层讨论与分析 / 风险因素,,,
上市时（2020年）担心什么？,差不多，也是原材料价格、行业政策、中美贸易摩擦、毛利率下降、应收账款。,2020-05-12 金盘科技(688676).pdf,第四节 风险因素,,,
公司大方吗？分红不？（2024年）,2024年报提了预案：10股派4.80元 (含税)。,2025-04-03 金盘科技：2024年年度报告.pdf,重要提示 / 利润分配预案,,,
2023年分红了吗？,分了，10股派4.50元 (含税)。,2024-03-21 金盘科技：2023年年度报告.pdf,重要提示 / 利润分配预案,,,
2022年呢？,10股派3.00元 (含税)。,2023-03-21 金盘科技：2022年年度报告.pdf,重要提示 / 利润分配预案,,,
2021年呢？,10股派3.00元 (含税)。,2022-04-16 金盘科技：2021年年度报告.pdf,重要提示 / 利润分配预案,,,
公司的账本（审计报告）靠谱吗？,至少2021-2024年，审计机构都出的是“标准无保留意见”，意思是没发现大问题。,2025-04-03 金盘科技：2024年年度报告.pdf,审计报告,,,
公司拿政府补贴多吗？（2024年）,2024年计入当期损益的政府补助有2581万。,2025-04-03 金盘科技：2024年年度报告.pdf,第十节 财务报告 / 补充资料,,,
2023年呢？,3271万。,2024-03-21 金盘科技：2023年年度报告.pdf,第十节 财务报告 / 补充资料,,,
2025年上半年拿了多少？,1472万。,2025-08-29 金盘科技：2025年半年度报告.pdf,第十节 财务报告 / 补充资料,,,
2021年是不是亏钱卖了什么东西？,2021年报的非经常性损益里，“非流动资产处置损益”是 -679万。,2022-04-16 金盘科技：2021年年度报告.pdf,第十节 财务报告 / 补充资料,,,
公司库存大吗？（2024年底）,存货22.1亿。,2025-04-03 金盘科技：2024年年度报告.pdf,第三节 管理层讨论与分析 / 资产、负债情况,,,
2023年底呢？,18.0亿。库存增加了。,2025-04-03 金盘科技：2024年年度报告.pdf,第三节 管理层讨论与分析 / 资产、负债情况,,,
2024年存货为啥涨这么多？,2024年报解释说，主要是“发出商品”和“合同履约成本”增加了，因为销售规模扩大，特别是海外业务。,2025-04-03 金盘科技：2024年年度报告.pdf,第三节 管理层讨论与分析 / 资产、负债情况分析,,,
控股股东（元宇投资）的股份变少了吗？,变少了。上市前（2020年）持股55.66%，到2024年底持股27.28%。,2020-05-12 金盘科技(688676).pdf,第五节 发行人基本情况 / 股权结构,,,
（承上）为什么股份比例少了这么多？,一方面是IPO发行新股稀释了，另一方面也可能有减持或转让。,2025-04-03 金盘科技：2024年年度报告.pdf,第七节 股份变动及股东情况,,,
2020年招股书里说的“四大基地”是哪？,海口、武汉、上海、桂林。,2020-05-12 金盘科技(688676).pdf,第六节 业务与技术 / 生产模式,,,
"2020年招股书里那个""VPI""是啥技术？",真空压力浸渍 (Vacuum Pressure Impregnation)，干式变压器的核心工艺之一。,2020-05-12 金盘科技(688676).pdf,第六节 业务与技术 / 核心技术,,,
2025年上半年，除了数据中心，还有啥长得快？,“中低压成套系列”也很快，收入5.48亿，同比增长了160.75%。,2025-08-29 金盘科技：2025年半年度报告.pdf,第三节 管理层讨论与分析 / 主营业务分产品情况,,,
